"Pdel_P1"	"Pdel_P4"
"Podel.01G000100"	0	0
"Podel.01G000200"	12.041314271945	10.361130885162
"Podel.01G000300"	12.2025976983135	10.8866312798679
"Podel.01G000400"	1.58666953040186	2.89739653377731
"Podel.01G000500"	3.8995660266311	5.19942136884147
"Podel.01G000600"	6008.39211013232	6471.33425893757
"Podel.01G000700"	7630.92892100286	8618.2944506077
"Podel.01G000800"	3.25137528564792	2.97583500720318
"Podel.01G000900"	0	0
"Podel.01G001000"	114.390493127974	109.010863267317
"Podel.01G001100"	0	0
"Podel.01G001200"	0	0.0393383207103207
"Podel.01G001300"	0	0
"Podel.01G001400"	24.2829423783241	23.5930860607581
"Podel.01G001500"	4.36998369656573	4.8220509755208
"Podel.01G001600"	43.7268854554903	43.9637958256052
"Podel.01G001700"	25.2027508017454	15.9445974460022
"Podel.01G001800"	63.6561281959777	64.1430665896882
"Podel.01G001900"	8.5473896138653	9.05768153111099
"Podel.01G002000"	1.09350778272036	1.87458477037776
"Podel.01G002100"	0	0
"Podel.01G002200"	1.56832106026251	1.51773005831856
"Podel.01G002300"	0	0
"Podel.01G002400"	0.0437801114100963	0.0437801114100963
"Podel.01G002500"	0	0
"Podel.01G002600"	12.6478320843782	13.4143673622193
"Podel.01G002700"	0	0.108632546559248
"Podel.01G002800"	0	0
"Podel.01G002900"	0	0
"Podel.01G003000"	0.038873137483412	0
"Podel.01G003100"	0	0.0651233870846136
"Podel.01G003200"	0.246924403674841	0.296309284409809
"Podel.01G003300"	0.079170944926949	0.316683779707796
"Podel.01G003400"	0	0
"Podel.01G003500"	0	0
"Podel.01G003600"	0.156538824855562	0
"Podel.01G003700"	1.26954155158046	1.69272206877395
"Podel.01G003800"	0.134894295103009	0.236065016430265
"Podel.01G003900"	0	0
"Podel.01G004000"	0.186354723167774	0.196707763343762
"Podel.01G004100"	0	0
"Podel.01G004200"	0	0.0882243318614193
"Podel.01G004300"	4072.24203350886	3573.6885935636
"Podel.01G004400"	0.389915975835724	0.236312712627712
"Podel.01G004500"	0.125282936876945	0.375848810630835
"Podel.01G004600"	7.70716379356603	7.31692765211965
"Podel.01G004700"	0.15621539753148	0
"Podel.01G004800"	0	0
"Podel.01G004900"	177.13130359026	166.05708372124
"Podel.01G005000"	3.67115213990743	3.71485633204918
"Podel.01G005100"	0.0610729017812894	0
"Podel.01G005200"	2.28711628147929	2.99231046826874
"Podel.01G005300"	0	0
"Podel.01G005400"	0.877125897972579	0.877125897972579
"Podel.01G005500"	0	0
"Podel.01G005600"	0	0
"Podel.01G005700"	0.176140366698279	0.352280733396558
"Podel.01G005800"	0	0
"Podel.01G005900"	0.0750081869099567	0.0750081869099567
"Podel.01G006000"	0	0
"Podel.01G006100"	0.25446614187711	0.159041338673194
"Podel.01G006200"	0.0696208585683576	0
"Podel.01G006300"	0.0744175712649964	0
"Podel.01G006400"	0	0
"Podel.01G006500"	1.00347859241253	0.887692600980314
